cuenta_id,nombre,saldo,edad,tipo
1001,Karen Villagran,2552.2,79,prestamo
1002,Alice Brown,40701.86,85,ahorro
1003,Alice Brown,35443.64,31,prestamo
1004,Valentina Diaz,20468.76,84,prestamo
1005,Bob Johnson,54441.59,42,prestamo
1006,John Doe,10388.39,20,ahorro
1007,Ignacio Villarroel,37501.15,50,prestamo
1008,John Doe,26825.56,,ahorro
1009,Charlie Green,39801.38,19,ahorro
1010,Charlie Green,37176.57,31,ahorro
1011,Felipe Soto,58395.25,51,ahorro
1012,Steve Rogers,28995.64,44,ahorro
1013,John Doe,5677.94,81,ahorro
1014,Camila Rojas,17972.52,76,prestamo
1015,Jane Smith,18968.61,64,ahorro
1016,Jane Smith,38937.76,,hipoteca
1017,Andres Castro,20760.55,29,prestamo
1018,Steve Rogers,39036.14,79,
1019,Jane Smith,54700.24,38,ahorro
1020,Karen Villagran,51795.77,63,ahorro
1021,Camila Rojas,24853.67,80,-1
1022,Charlie Green,34725.95,85,ahorro
1023,Ignacio Villarroel,39923.53,49,hipoteca
1024,Bob Johnson,30482.38,,ahorro
1025,Maria Gonzalez,58217.66,59,hipoteca
1026,Alice Brown,26818.08,48,prestamo
1027,Jane Smith,1360.82,81,otro
1028,John Doe,33871.25,56,ahorro
1029,Maria Gonzalez,20118.77,46,
1030,Maria Gonzalez,20118.77,46,
1031,Diana Prince,3032.95,65,prestamo
1032,Bob Johnson,7508.52,130,prestamo
1033,Alice Brown,3076.07,31,ahorro
1034,Ignacio Villarroel,30080.07,82,prestamo
1035,John Doe,46930.57,79,prestamo
1036,Camila Rojas,19514.07,130,ahorro
1037,Steve Rogers,27334.89,61,-1
1038,Steve Rogers,42798.9,88,prestamo
1039,Ignacio Villarroel,55295.15,55,ahorro
1040,Camila Rojas,45718.27,59,ahorro
1041,Karen Villagran,50883.88,86,prestamo
1042,Pedro Alvarez,45086.05,25,prestamo
1043,Charlie Green,32607.97,55,ahorro
1044,Maria Gonzalez,30802.06,89,ahorro
1045,Camila Rojas,47350.26,67,ahorro
1046,Pedro Alvarez,54715.74,74,prestamo
1047,Ignacio Villarroel,10892.33,42,ahorro
1048,Bob Johnson,16075.1,72,hipoteca
1049,Valentina Diaz,,37,prestamo
1050,Karen Villagran,47106.68,88,prestamo
1051,Alice Brown,32361.05,38,hipoteca
1052,Alice Brown,45233.54,55,
1053,Pedro Alvarez,54298.44,62,ahorro
1054,Karen Villagran,47833.53,59,ahorro
1055,Charlie Green,46298.51,,prestamo
1056,Pedro Alvarez,5216.02,42,ahorro
1057,Felipe Soto,46482.86,44,ahorro
1058,Steve Rogers,56403.14,73,ahorro
1059,Bob Johnson,10926.13,,prestamo
1060,Jane Smith,37923.97,70,ahorro
1061,John Doe,35260.8,26,ahorro
1062,Jane Smith,17106.59,56,ahorro
1063,Steve Rogers,44881.21,86,ahorro
1064,Valentina Diaz,965.67,65,ahorro
1065,Bob Johnson,56834.67,68,ahorro
1066,Camila Rojas,11284.37,83,prestamo
1067,Charlie Green,51127.85,90,ahorro
1068,Pedro Alvarez,12085.83,26,ahorro
1069,Diana Prince,-1048.14,130,ahorro
1070,Diana Prince,22060.26,37,prestamo
1071,Steve Rogers,38558.06,46,prestamo
1072,Diana Prince,46553.59,77,prestamo
1073,Jane Smith,12026.99,35,ahorro
1074,Ignacio Villarroel,48814.75,82,ahorro
1075,Felipe Soto,32518.72,87,ahorro
1076,Bob Johnson,30217.05,55,ahorro
1077,Diana Prince,8680.13,39,ahorro
1078,Karen Villagran,2713.06,79,-1
1079,Alice Brown,47550.19,44,prestamo
1080,Andres Castro,6462.53,,ahorro
1081,Ignacio Villarroel,39324.42,90,prestamo
1082,Ignacio Villarroel,13607.09,66,hipoteca
1083,Valentina Diaz,8596.41,18,otro
1084,Jane Smith,36240.61,41,prestamo
1085,Ignacio Villarroel,28897.56,79,prestamo
1086,Ignacio Villarroel,9919.41,34,ahorro
1087,John Doe,11048.24,,-1
1088,Karen Villagran,13230.63,54,hipoteca
1089,Maria Gonzalez,47738.58,70,-1
1090,Bob Johnson,35913.04,61,prestamo
1091,Steve Rogers,54587.55,,ahorro
1092,Valentina Diaz,32026.37,22,ahorro
1093,Jane Smith,53849.05,87,ahorro
1094,Ignacio Villarroel,25908.69,23,prestamo
1095,Maria Gonzalez,15494.73,30,prestamo
1096,Andres Castro,11584.55,87,
1097,Felipe Soto,41359.67,66,ahorro
1098,Diana Prince,32305.46,50,prestamo
1099,Karen Villagran,33586.49,70,prestamo
1100,Pedro Alvarez,24068.35,62,prestamo
1101,Valentina Diaz,30648.11,38,ahorro
1102,Felipe Soto,49448.35,18,ahorro
1103,Karen Villagran,2553.99,65,ahorro
1104,Steve Rogers,49267.66,25,prestamo
1105,Maria Gonzalez,14130.76,83,prestamo
1106,John Doe,46846.47,29,ahorro
1107,Steve Rogers,33110.68,26,ahorro
1108,Pedro Alvarez,57794.51,53,
